benchmark,run,result
ackermann,tdce,1464231
armstrong,tdce,133
bbs,tdce,137
bin-search,tdce,358
binary-fmt,tdce,100
binpow,tdce,105
bitshift,tdce,167
bitwise-ops,tdce,1690
braille,tdce,325
catalan,tdce,659378
check-primes,tdce,8468
collatz,tdce,169
combination,tdce,178
dayofweek,tdce,269
delannoy,tdce,5748752
digital-root,tdce,247
euclid,tdce,563
fact,tdce,229
factors,tdce,72
fib_recursive,tdce,2693
fitsinside,tdce,10
fizz-buzz,tdce,3652
gcd,tdce,46
gebmm,tdce,3011
geometric-sum,tdce,35
gpf,tdce,759
grad_desc,tdce,229
graycode,tdce,1259
hamming,tdce,117
hanoi,tdce,99
is-decreasing,tdce,127
karatsuba,tdce,1548
lcm,tdce,2326
legendre,tdce,153
loopfact,tdce,116
mccarthy91,tdce,1385
mod_inv,tdce,558
mod_pow,tdce,243
montgomery,tdce,17
mountain,tdce,100
orders,tdce,5352
palindrome,tdce,298
pascals-row,tdce,146
perfect,tdce,232
permutation,tdce,130
primes-between,tdce,574100
pythagorean_triple,tdce,61518
quadratic,tdce,785
recfact,tdce,104
rectangles-area-difference,tdce,14
relative-primes,tdce,1923
reverse,tdce,46
rot13,tdce,8
sqrt_bin_search,tdce,744
squares,tdce,153
sum-bits,tdce,73
sum-check,tdce,5018
sum-digits,tdce,219
sum-divisible-by-m,tdce,16
sum-divisors,tdce,159
sum-of-cubes,tdce,8
sum-sq-diff,tdce,3038
sum-to-ten,tdce,143
tail-call,tdce,missing
totient,tdce,253
triangle,tdce,188
up-arrow,tdce,252
